iteration = 36 , objective = -0.999936337969, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [675.30748430691995, 1.0, -1.0, 1.0, -1.0, 0.0, 0.17494023969604278, -5.8069069704784608, 0.64912912439842729, -175.65806238418094, 105.99970933222767]
iteration = 37 , objective = -1.00041252504, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0, 1.0], constraints = [674.53718920604194, 1.0, 1.0, 1.0, 1.0, 0.0, 0.17484212993234149, -3.2977473220012432, 0.64916476229627607, -103.38654971197759, 114.76301503772102]
iteration = 38 , objective = -1.00001248125, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0, 1.0], constraints = [675.38174016705455, 1.0, 1.0, 1.0, 1.0, 0.0, 0.17494010148926553, -5.8067544681506185, 0.64912912439842729, -175.65344921170308, 105.99946805279117]
iteration = 39 , objective = -0.999968784544, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0, 1.0], constraints = [675.58586811412817, 1.0, 1.0, 1.0, 1.0, 0.0, 0.17494010148926553, -5.8067544681506185, 0.64912912439842729, -175.65344921170308, 105.99946805279117]
iteration = 40 , objective = -0.999842004379, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0, 1.0], constraints = [675.29018535820921, 1.0, -1.0, 1.0, -1.0, 0.0, 0.17496959852418259, -2.5052807372775585, 0.64912912439842729, -78.0816533445918, 155.85837830304109]
iteration = 41 , objective = -0.999900194528, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005, 1.0], constraints = [675.37837381999395, 1.0, 1.0, 1.0, 1.0, 0.0, 0.17494010148926553, -5.8067544681506185, 0.64912912439842729, -175.65344921170308, 105.99946805279117]
iteration = 42 , objective = -0.999927648165, inputs = [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0005], constraints = [675.37665995548673, 1.0, 1.0, 1.0, 1.0, 0.0, 0.17494010148926553, -5.8067544681506185, 0.64912912439842729, -175.65344921170308, 105.99946805279117]
iteration = 43 , objective = -1.70254248558, inputs = [1.2767629658656712, 1.0001852227048666, 1.0623824961439594, 0.9678754334296559, 1.200199454284066, 1.1677806890713414, 1.0981158068893726, 1.4517229045273146, 1.027040650068469, 1.0303827036103899, 0.9017591931106272, 0.8009708606497488, 0.8551163168300252], constraints = [665.6472715475926, 1.0, -1.0, 1.0, -1.0, 0.0, 0.17531378123225677, -4.8618002337818762, 0.73215261131029397, -154.56859512661799, 148.29908513694329]
iteration = 44 , objective = -1.70268114132, inputs = [1.2772629658656711, 1.0001852227048666, 1.0623824961439594, 0.9678754334296559, 1.200199454284066, 1.1677806890713414, 1.0981158068893726, 1.4517229045273146, 1.027040650068469, 1.0303827036103899, 0.9017591931106272, 0.8009708606497488, 0.8551163168300252], constraints = [665.64603655196902, 1.0, -1.0, 1.0, -1.0, 0.0, 0.17531378123225677, -4.8618002337818762, 0.73215261131029397, -154.56859512661799, 148.29908513694329]
iteration = 45 , objective = -1.70254248558, inputs = [1.2767629658656712, 1.0006852227048666, 1.0623824961439594, 0.9678754334296559, 1.200199454284066, 1.1677806890713414, 1.0981158068893726, 1.4517229045273146, 1.027040650068469, 1.0303827036103899, 0.9017591931106272, 0.8009708606497488, 0.8551163168300252], constraints = [665.64843792508202, 1.0, -1.0, 1.0, -1.0, 0.0, 0.17531378123225677, -4.8618002337818762, 0.73215261131029397, -154.56859512661799, 148.29908513694329]
