iteration = 32 , objective = -0.810006356612, inputs = [1.0005459548595756, 0.9995370751216068, 1.0021071851817205, 1.0000239189608722], constraints = [-1.0]
iteration = 33 , objective = -0.337434826738, inputs = [1.0005409548595756, 0.9995420751216069, 1.0021071851817205, 1.0000239189608722], constraints = [1.0]
iteration = 34 , objective = -0.0931537007769, inputs = [1.0005409548595756, 0.9995370751216068, 1.0021121851817205, 1.0000239189608722], constraints = [-1.0]
iteration = 35 , objective = -0.773295240298, inputs = [1.0005409548595756, 0.9995370751216068, 1.0021071851817205, 1.0000289189608722], constraints = [-1.0]
iteration = 36 , objective = -0.712126376135, inputs = [1.0005409548595756, 0.9995370751216068, 1.0021071851817205, 1.0000239189608722], constraints = [-1.0]
iteration = 37 , objective = -0.810006356612, inputs = [1.0005459548595756, 0.9995370751216068, 1.0021071851817205, 1.0000239189608722], constraints = [-1.0]
iteration = 38 , objective = -0.337434826738, inputs = [1.0005409548595756, 0.9995420751216069, 1.0021071851817205, 1.0000239189608722], constraints = [1.0]
iteration = 39 , objective = -0.0931537007769, inputs = [1.0005409548595756, 0.9995370751216068, 1.0021121851817205, 1.0000239189608722], constraints = [-1.0]
iteration = 40 , objective = -0.773295240298, inputs = [1.0005409548595756, 0.9995370751216068, 1.0021071851817205, 1.0000289189608722], constraints = [-1.0]
iteration = 41 , objective = -0.136204750696, inputs = [1.573271993012908, 1.0414947309137026, 0.9555650056900652, 1.0866652292403474], constraints = [-1.0]
iteration = 42 , objective = -0.0902761517957, inputs = [1.2868953976526298, 1.020515091581109, 0.978836995534448, 1.0433428985082964], constraints = [-1.0]
iteration = 43 , objective = -0.116665060482, inputs = [1.1437062171973817, 1.0100252072436635, 0.9904730621941127, 1.0216815995982738], constraints = [-1.0]
iteration = 44 , objective = -0.197346456217, inputs = [1.0721121353411809, 1.0047803023176807, 0.996291054211859, 1.0108510270484121], constraints = [-1.0]
iteration = 45 , objective = -0.3287694036, inputs = [1.0363166470664487, 1.002157963600394, 0.9991999240465476, 1.0054359756549758], constraints = [-1.0]
iteration = 46 , objective = -0.148265794535, inputs = [1.0184214308885935, 1.0008469794373278, 1.00065415353283, 1.0027288323816115], constraints = [-1.0]
iteration = 47 , objective = -0.456743413145, inputs = [1.0094703612713503, 1.0001912337679777, 1.0013815495721843, 1.001374737093636], constraints = [-1.0]
iteration = 48 , objective = -0.0785080851331, inputs = [1.0050007516775692, 0.999863795008127, 1.00174476608764, 1.0006985858012394], constraints = [-1.0]
iteration = 49 , objective = -0.0782412368054, inputs = [1.0027587331120593, 0.9996995471553226, 1.0019269605620935, 1.0003594188742766], constraints = [1.0]
iteration = 50 , objective = -0.366164183147, inputs = [1.0016397104752552, 0.9996175687684519, 1.002017896357341, 1.0001901359455956], constraints = [1.0]
iteration = 51 , objective = -0.0780446853028, inputs = [1.001085683014295, 0.9995769813164757, 1.0020629186170293, 1.0001063240654098], constraints = [1.0]
iteration = 52 , objective = -0.197223400176, inputs = [1.001090683014295, 0.9995769813164757, 1.0020629186170293, 1.0001063240654098], constraints = [-1.0]
iteration = 53 , objective = -0.134569673437, inputs = [1.001085683014295, 0.9995819813164757, 1.0020629186170293, 1.0001063240654098], constraints = [1.0]
iteration = 54 , objective = -0.0780446854692, inputs = [1.001085683014295, 0.9995769813164757, 1.0020679186170294, 1.0001063240654098], constraints = [-1.0]
iteration = 55 , objective = -0.0780448006225, inputs = [1.001085683014295, 0.9995769813164757, 1.0020629186170293, 1.0001113240654098], constraints = [-1.0]
iteration = 56 , objective = -0.0780446853028, inputs = [1.001085683014295, 0.9995769813164757, 1.0020629186170293, 1.0001063240654098], constraints = [1.0]
iteration = 57 , objective = -0.197223400176, inputs = [1.001090683014295, 0.9995769813164757, 1.0020629186170293, 1.0001063240654098], constraints = [-1.0]
iteration = 58 , objective = -0.134569673437, inputs = [1.001085683014295, 0.9995819813164757, 1.0020629186170293, 1.0001063240654098], constraints = [1.0]
iteration = 59 , objective = -0.0780446854692, inputs = [1.001085683014295, 0.9995769813164757, 1.0020679186170294, 1.0001063240654098], constraints = [-1.0]
iteration = 60 , objective = -0.0780448006225, inputs = [1.001085683014295, 0.9995769813164757, 1.0020629186170293, 1.0001113240654098], constraints = [-1.0]
iteration = 61 , objective = -0.0780446853028, inputs = [1.001085683014295, 0.9995769813164757, 1.0020629186170293, 1.0001063240654098], constraints = [1.0]
iteration = 62 , objective = -0.197223400176, inputs = [1.001090683014295, 0.9995769813164757, 1.0020629186170293, 1.0001063240654098], constraints = [-1.0]
iteration = 63 , objective = -0.134569673437, inputs = [1.001085683014295, 0.9995819813164757, 1.0020629186170293, 1.0001063240654098], constraints = [1.0]
iteration = 64 , objective = -0.0780446854692, inputs = [1.001085683014295, 0.9995769813164757, 1.0020679186170294, 1.0001063240654098], constraints = [-1.0]
iteration = 65 , objective = -0.0780448006225, inputs = [1.001085683014295, 0.9995769813164757, 1.0020629186170293, 1.0001113240654098], constraints = [-1.0]
iteration = 66 , objective = -0.201358608055, inputs = [1.578020241216642, 1.8678841467639442, 0.6679717744157163, 0.7489412260145124], constraints = [-1.0]
iteration = 67 , objective = -0.458507702337, inputs = [1.2895532954619784, 1.433731065738642, 0.8350171534821449, 0.8745236299195004], constraints = [-1.0]
iteration = 68 , objective = -0.0968530438538, inputs = [1.1453229701357432, 1.2166592624030794, 0.9185380203321236, 0.9373134616039657], constraints = [-1.0]
iteration = 69 , objective = -0.397914704262, inputs = [1.0732033808006558, 1.1081166984355002, 0.9603010171533987, 0.9687103045720457], constraints = [-1.0]
iteration = 70 , objective = -0.339397399487, inputs = [1.037147271279695, 1.0538509627292532, 0.9811803815701176, 0.9844071217489946], constraints = [-1.0]
